oz1,oz2,oz3,oz4,oz5,oz6,oz7,oz8,oz9,oz10,clazz
0.826124,0.73389302,-0.065444186,-0.003908148,-0.55902117,1.4760036,1.0889163999999998,-0.61813947,0.93986304,0.88379675,1
0.21882910000000005,0.29682777,-0.48445737,-0.83868572,0.20054241,-0.31522100000000003,1.5882482,-0.36162811,-0.67633532,-1.3857506000000002,14
-0.35535197,-0.33180076,-0.051346955,-0.033829943,-0.14140746,1.5251971000000002,1.0726191,-1.0252921,1.2235608999999998,-1.0416552,27
4.86e-05,0.32340617,-0.070997537,0.75971549,-0.52119676,-0.63500173,-1.457156,0.49945841,-0.89429808,-1.1089837,23
0.2859656,0.32735508,0.37471743,0.33037549,-0.08656201699999999,0.57140835,-0.93617077,0.08311585,1.0849944,-1.0145601,14
-1.5553056,-1.3793702,-1.4735181,0.6628607,-1.299238,-0.96006357,-0.75905046,1.0523726999999998,-1.5588329,0.3700642,23
0.89467286,1.2177762,2.5882086,1.8707715,1.2024703,-1.4394671,0.41337558,-1.0731575,0.16344995,1.4664079,11
-1.5239983,-1.4259153,-0.37681408,0.85779869,-1.1066185,0.99045159,0.76426756,-1.5277841,0.36530459,0.14362799,17
1.9814594,1.8100283,-1.6597068,-1.5737781000000002,-0.60579852,-0.50528455,-1.0518054,-1.1091245,0.62586457,-0.4652437,31
-1.4223616,-1.1889501,-1.0949688999999998,-0.096466858,-1.3944877,-0.63235489,-1.1274681,0.42458147,1.66508,-0.77019034,19
0.97054902,1.5385174,1.1077295,0.73134537,-0.053082177,1.4987248,-1.5837631,-1.0040509,-0.35365751,-1.7255096,9
-0.9405665,-1.5128123,-1.5876129,0.60271806,-0.67787584,0.72580443,1.2283391,-0.6992436,-0.98885055,-1.2817017,29
0.87187908,0.022678425,-0.72325162,-1.2702256,-0.5324773,1.068794,0.99036146,1.2397036,0.91877997,0.4096914000000001,11
-0.33460924,-0.067065257,0.093734858,-0.55133944,-1.1705347,1.4029181,1.1717448,0.80371732,-0.84576333,-1.6387664,19
0.49518908,0.79718575,-0.22241419,0.06431574,-1.2631941999999998,-0.74098532,1.3564516000000002,1.4967553999999998,1.5071125,0.71984017,3
0.053912625,0.37243465,0.57179766,-0.20195555,1.6260966,1.0419002,0.21215248,0.17905945,0.89943348,0.87402335,18
0.047843127,-0.50612478,-0.039959626,1.4385328000000002,0.0251002,0.21493093,0.77268574,-0.17309889,0.6736512,-1.3040636,35
-0.61049746,-0.48635562,-0.07367267799999999,0.49712629,1.7715313999999998,-0.77710805,0.46425595,1.1718981000000002,-0.34335673,-1.3371343,33
-0.80376109,-1.2521642,-0.77078709,-0.09459535,1.0011488000000002,-1.1083805,0.95077354,0.88993601,-1.5755565,1.1625958,24
-1.5018802,-1.082045,-0.99018898,0.16155383,-1.4253441,-1.589298,-1.6884644,1.6629779999999998,0.095466483,1.0091935,20
-0.52207662,0.08947056099999999,0.094384517,-0.28339597,1.4171558000000002,1.4391865,0.80136771,-0.19411441,1.3301538999999998,0.70496517,30
0.68567126,-0.089462074,-0.21346584,-1.1025377,1.8663614,0.44815914,-0.21592066,-0.5979131999999999,1.5555358999999995,1.0286406,18
-0.83550601,-1.5640792,-0.81433245,-0.60082118,1.6729793000000002,-0.48955914,0.76257756,0.7560073,-1.242569,0.12570999,20
1.4845152,1.3551157,0.87852804,0.74792402,-1.2210415,0.94670468,1.2984836000000002,-0.34588246,0.9587898,-0.6552551,11
0.17111054,0.39825103,1.2266101,0.6063457,0.94106571,-0.095579639,0.38276203,1.2108164,-1.3899706,1.4398399,20
0.77591001,0.68837486,2.4062136,1.5487621,-0.039972861,-0.34294893,-1.7316631000000002,-0.72677127,0.76624254,-0.73202224,6
1.4044462,1.1806748,-0.3752975,-1.0919795,-0.11657328,-0.12508311,1.3222741000000002,-1.2505474,-1.0511642,0.63490773,5
0.53115941,1.0833236000000002,-0.84045892,-0.96780088,-0.11937562,0.32041403,0.68963785,-0.74815224,-1.5359353,1.3923458999999998,1
0.74949888,1.0222801,1.5831795,0.3773036,1.1944308,-0.42246795,-1.3666343,-1.5934543,-0.26561681,-0.97237556,3
-0.96021593,-1.2694072,-1.3909583,-0.45533633,-0.87943577,1.1300156,-1.3826169,0.94147632,-0.28934789,1.4758143,21
-0.46854283,-0.26334739,0.40275631,0.98688296,-0.19436288,0.89931718,1.1490854,0.42015723,1.3983075,-0.5494458999999999,33
0.4132024,0.031358121,-0.49345025,-0.77612175,0.28457369,1.4983496,1.1452171,-1.5171461000000002,0.50110873,-0.43384235,20
-0.79325117,-0.050782838,0.4896293,1.5949556,0.68732526,0.099362162,-1.4543803999999998,-0.24300406,1.2207197,0.83716991,34
-0.065203118,0.19609258,-0.39865019,-0.67442233,1.5770515,0.86067765,0.069519187,-1.3384938,1.6788498,1.568279,26
0.29203392,0.37906589,1.4216151,0.82354909,0.41804708,1.0945461,0.11397599,0.85625804,-1.0972093,-1.2786381000000002,16
-1.4552299,-1.5836409,-0.50755648,1.2019567,0.6549241,-0.87606948,-0.23202928,-1.4557994,0.76367707,1.3098313,23
-0.50538533,0.076935116,-0.001588901,-0.11567613,1.1084456,-1.4393587,-0.91976591,-1.1050661,-0.10045931,-0.27259343,28
-1.2512546999999998,-1.128863,-1.2524551000000002,-1.6352411,0.25910931,-0.83490644,0.20446724,-0.99922832,-0.66536786,-0.81152431,15
1.9077616,1.6378472,0.54200097,-0.33163000000000004,0.68608085,1.2625425,0.66154962,1.4215933,-1.5076667,-0.1756953,27
0.71939955,0.69972809,-0.48932272,-1.348725,1.7459516,0.1388781,1.1457229,0.66037184,-0.39719117,-0.99331693,5
0.5192753999999999,-0.097439853,-0.50856416,-1.454797,1.332359,0.97173369,-0.21199277,-0.050890016,-0.028809081,-1.4962608,21
0.43499004,0.14413711,-0.17886002,-0.93401122,-1.3018491,-0.63231435,-0.61820087,0.79075451,0.00792562,-1.668738,13
-0.15789794,0.52853405,0.20873229,-0.2957736,0.92707984,-1.3122328,-1.4571773,-0.10750598,0.39952159,1.2309381,17
-2.0800176,-1.6163002,-0.93047375,0.97656149,-0.25440547,1.3559756,-1.6643752,0.56408882,0.74037883,-1.2833981,22
1.1624584999999998,0.91112341,-1.9304059,-1.6541956999999998,-1.3985462,-0.41914304,-0.12399293,-0.55387705,-0.37291579,1.2876872,4
