GEO,DGUID2,Farm type,Share of family income earned by operators,UOM1,UOM_ID,SCALAR_ID,VECTOR,COORDINATE1,COORDINATE2,COORDINATE3,COORDINATE4,VALUE,SYMBOL,TERMINATED,DECIMALS,REF_DATE1_Alberta,REF_DATE1_British Columbia,REF_DATE1_Canada,REF_DATE1_Manitoba,REF_DATE1_New Brunswick,REF_DATE1_Newfoundland and Labrador,REF_DATE1_Nova Scotia,REF_DATE1_Ontario,REF_DATE1_Prince Edward Island,REF_DATE1_Quebec,REF_DATE1_Saskatchewan,REF_DATE1_nan,REF_DATE2_Rate,REF_DATE2_nan,DGUID1_A,DGUID1_nan,DGUID3_Rate,DGUID3_nan,Family type_Census families of farm operators,Family type_Economic families of farm operators,Family type_nan,UOM2_Families,UOM2_nan,SCALAR_FACTOR_units,SCALAR_FACTOR_nan,STATUS_0,STATUS_E,STATUS_F,STATUS_nan,clazz
2016,11124,0,0,10,138,0,1001638036,1,1,1,2,7290,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,-1
2016,11124,0,0,10,138,0,1001638108,1,2,1,2,7570,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,0,0,99,138,0,1001638035,1,1,1,1,180000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,-1
2016,11124,0,0,99,138,0,1001638107,1,2,1,1,181575,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,0,10,24,138,0,1001638037,1,1,1,3,10090,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,-1
2016,11124,0,10,24,138,0,1001638109,1,2,1,3,10880,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,0,25,49,138,0,1001638038,1,1,1,4,38445,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,-1
2016,11124,0,25,49,138,0,1001638110,1,2,1,4,39915,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,0,50,74,138,0,1001638039,1,1,1,5,46560,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,-1
2016,11124,0,50,74,138,0,1001638111,1,2,1,5,46925,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,0,75,99,138,0,1001638040,1,1,1,6,77620,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,-1
2016,11124,0,75,99,138,0,1001638112,1,2,1,6,76280,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1111,0,10,138,0,1001638078,1,1,8,2,2060,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,-1
2016,11124,1111,0,10,138,0,1001638150,1,2,8,2,2120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1111,0,99,138,0,1001638077,1,1,8,1,58350,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,-1
2016,11124,1111,0,99,138,0,1001638149,1,2,8,1,58890,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1111,10,24,138,0,1001638079,1,1,8,3,2990,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,-1
2016,11124,1111,10,24,138,0,1001638151,1,2,8,3,3160,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1111,25,49,138,0,1001638080,1,1,8,4,13450,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,-1
2016,11124,1111,25,49,138,0,1001638152,1,2,8,4,13765,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,-1
