Belgium,Belgium.1,Belgium.2,Belgium.3,Belgium.4,Belgium.5,Belgium.6,Belgium.7,Belgium.8,Belgium.9,Belgium.10,Belgium.11,Belgium.12,Belgium.13,Belgium.14,Belgium.15,Belgium.16,Belgium.17,Belgium.18,Belgium.19,Belgium.20,Belgium.21,Belgium.22,Belgium.23,Belgium.24,Belgium.25,Belgium.26,Belgium.27,Belgium.28,Belgium.29,Belgium.30,Belgium.31,Belgium.32,Belgium.33,clazz
14.77104874,41.82350481,10.24485196,29.01915264,17.99532122,18.2748538,33.47840643,11.53402537,34.094783500000005,100.0,17.658484899999998,15.66906926,152.67175569999998,16.91188906,37.21622627,10.3950104,88.57395926,17.78410101,22.68602541,35.56187767,18.52194851,12.80573697,14.25110446,19.24927815,18.49796522,13.23801959,12.35941169,22.22716159,12.71294177,27.76235425,33.7723742,16.35590448,14.83019428,17.11742554,0.0
22.90426019,15.12630464,178.89087659999998,21.03491796,116.9590643,32.95978906,35.86800574,56.88282139,20.23062917,11.60362033,14.5158949,16.15508885,98.23182711,28.01120448,13.00052002,14.32254368,10.74229241,1388.888889,19.54652072,14.3636886,18.95375284,13.38508901,10.10713564,58.44535359,14.21666193,11.59554731,11.4955742,15.89319771,13.72306848,22.85714286,11.22460433,69.63788301,22.5631769,19.65408805,0.0
11.62385214,20.18978397,28.82675123,429.1845494,90.82652134,12.14624074,11.02414287,49.92511233,11.37268282,20.26753141,172.4137931,16.53712585,15.48946716,15.37988311,153.609831,20.58460272,13.58326542,12.46105919,138.5041551,20.99076406,35.97122302,10.62699256,53.705692799999994,24.74634991,69.10850035,119.047619,17.10278775,38.12428517,23.90057361,13.19783555,18.37559721,15.29285824,88.88888889,25.4000508,0.0
20.99076406,11.27904354,14.97678598,20.95557418,12.56439251,26.49006623,282.48587569999995,10.06947941,10.17501018,16.03849238,401.6064257,34.15300546,14.71020888,15.29285824,52.91005291,15.33036946,60.24096386,19.74723539,10.37021674,11.17318436,43.04778304,61.50061501,15.55935895,20.16942315,41.56275977,45.18752824,27.70083102,11.63467132,23.31002331,43.51610096,14.09046076,23.07337333,53.27650506,95.87727709,0.0
27.98768542,57.14285714,61.08735492,29.9940012,18.1587071,27.67017156,18.82884579,27.99552072,15.15840534,40.37141704,29.48113208,23.73605507,124.84394509999998,25.62788314,17.45200698,45.08566276,28.522532799999997,22.88329519,1388.888889,277.0083102,95.69377990000001,70.27406887,15.10117789,10.46353458,10.48218029,11.80637544,13.15097317,12.31375446,10.64169416,10.11326861,10.01803246,21.92021043,17.25625539,28.92681516,0.0
32.86230693,11.45606599,12.28652169,11.70686022,24.80774001,10.68490223,48.33252779,12.04383958,11.94172439,12.0221207,14.914243099999998,42.73504274,292.3976608,92.59259259,19.33488012,11.74122344,10.62699256,13.16309069,22.54283138,17.76198934,11.48105626,18.515089800000002,14.26330053,62.85355123,41.25412541,14.99025633,25.18257366,14.77323091,32.6690624,10.039152699999999,10.64735945,14.43418014,15.02629602,30.12048193,0.0
73.31378299,16.88333615,10.11940903,12.01489847,19.79022363,10.87429317,131.5789474,16.80954782,65.65988181,26.90341673,104.0582726,333.3333333,16.40150894,39.0625,24.30133657,10.9301563,16.24431449,14.81920569,14.97005988,35.62522266,11.93175039,10.48437828,24.16042522,17.11742554,14.26737052,52.88207298,349.6503497,386.1003861,105.4852321,30.70310101,20.42066571,29.24831822,90.0090009,1562.5,0.0
25.88661662,44.42470013,27.44237102,66.53359947,10.65303079,877.1929825,139.275766,20.2020202,273.9726027,10.281719099999998,18.17190623,96.33911368,20.78137988,13.54096141,43.63001745,10.4416832,11.73984503,25.49719531,36.68378577,27.82415136,12.18175174,11.7260788,95.05703422,24.56398919,36.61662395,20.62280883,15.92863969,44.90345757,19.65022598,24.30724356,19.68891514,230.94688219999998,414.93775930000004,12.55808113,0.0
30.05710851,16.01794009,141.0437236,17.18508335,12.52661907,17.60253477,17.82848993,12.69680041,27.19608376,17.55617978,12.68552582,10.91822251,11.37656428,40.60089322,232.5581395,18.42299189,10.25325541,10.93972213,42.42681375,11.89767995,66.09385327,36.96857671,14.742739199999999,137.9310345,10.95410231,13.36898396,161.8122977,46.27487274,12.08459215,10.43296818,98.81422925,15.37988311,21.89141856,20.55076038,0.0
17.10571331,12.281994599999999,19.23446817,16.64170411,25.00625156,58.24111823,31.50598614,39.40110323,12.85016705,40.48582996,16.37733377,10.5764146,88.02816901,42.53509145,18.36884644,12.40540876,19.42124684,95.78544061,69.78367062,18.27151471,20.10858637,47.41583689,50.73566717,10.12965964,11.71646163,10.19679821,116.5501166,15.35155051,11.43379831,196.46365419999998,18.55631843,12.46105919,11.75778954,10.79447323,0.0
18.49112426,20.44989775,63.97952655,15.405946700000001,12.28803146,164.7446458,19.74723539,63.17119394,11.57005669,13.78549766,26.8744961,28.28854314,251.88916880000002,18.44678104,6666.666667,11.14578689,22.172949,14.57301078,46.27487274,15.84032948,11.51410478,68.25938567,15.47748027,279.3296089,47.70992366,25.65418163,495.04950499999995,147.7104874,20.34587996,26.64535039,21.91540653,17.18508335,11.02049813,1428.5714289999999,0.0
24.42598925,10.48108165,52.38344683,684.9315068,12.71779219,10.96972356,39.04724717,19.2159877,11.57139551,20.21835827,21.05263158,21.15954295,15.01276085,10.10407194,26.02811036,34.62603878,85.2514919,36.48303539,27.25538294,36.35041803,11.81055864,17.3973556,16.59475606,10.02807862,15.30456076,29.30832356,11.26633619,18.39249586,31.486146100000003,169.4915254,25.23977789,12.62626263,79.74481659,14.94991778,0.0
16.90617075,46.403712299999995,82.78145695,13.54279523,30.48780488,12.38083447,10.12760786,10.80497029,23.09468822,153.13935680000003,16.71402307,34.352456200000006,12.81886938,42.86326618,15.04890895,13.56300014,29.81514609,23.82654277,10.11633789,17.71165427,10.46901173,800.0,11.46131805,99.10802775,72.99270073,28.28054299,21.85314685,13.84657989,12.39464551,13.28903654,27.77777778,13.7532664,21.68726957,21.99252254,0.0
18.46381093,13.50621286,78.80220646,26.89618074,16.15769914,125.94458440000001,15.15151515,12.93828438,26.602819899999997,45.53734062,16.19170984,13.39225927,10.34019233,30.70310101,10.63716626,10.28806584,164.7446458,14.43209698,50.81300813,17.84758165,22.14839424,15.97444089,104.16666670000001,35.70153517,11.20573734,11.57407407,12.33349778,24.82621648,10.05227181,23.50728726,17.8986934,13.35113485,33.50083752,17.20578114,0.0
17.9243592,28.37684449,18.62197393,12.83038235,21.75331738,58.58230814,18.52537977,51.20327701,23.41372044,321.5434084,60.16847172,17.72735331,95.69377990000001,11.02779003,17.71793055,26.55337228,31.87759005,11.38174368,52.93806247,378.78787880000004,15.77038322,200.8032129,17.94687724,14.03508772,11.544677900000002,11.22586439,27.54820937,14.88538255,34.10641201,126.4222503,31.82686187,21.021652300000003,20.53809817,49.23682915,0.0
17.39130435,46.23208507,18.31501832,15.79778831,35.22367031,17.99856012,10.40366209,22.51745102,52.32862376,14.81262035,15.44878727,10.84481076,66.09385327,15.0060024,32.90556104,183.8235294,13.97428731,38.40245776,32.15434084,27.97202797,22.43158367,10.50420168,11.3391541,22.98850575,10.06542526,64.51612903,58.99705015,11.18693366,29.47244327,19.82160555,14.78633742,67.88866259,641.0256410000001,120.4819277,0.0
19.48558067,18.25150575,120.33694340000001,17.34906315,13.48799568,23.94636015,14.99925004,18.9000189,129.19896640000002,13.62583458,11.10617503,20.84201751,24.30724356,60.35003018,42.66211604,71.27583749,19.64250638,22.86759662,14.95438911,28.78526195,150.6024096,12.16693028,10.53407774,27.94076558,14.64772228,22.51745102,73.74631268,27.9798545,13.74003847,17.73049645,24.77700694,13.92175971,11.03630946,460.8294931,0.0
13.56852103,23.97506593,25.70694087,10.45806317,50.60728745,15.20218912,12.32134056,14.17434444,15.11487304,82.03445447,14.11831145,119.760479,19.45525292,67.52194463,26.49708532,63.85696041,27.0343336,13.49892009,16.42845408,16.78133915,2040.816327,12.31072264,12.39771882,12.86670098,32.20611916,24.26595487,16.3132137,79.49125596,25.94033722,12.5,13.07189542,20.66542674,79.8084597,161.8122977,0.0
83.7520938,11.66180758,18.88574127,10.32524522,20.45826514,15.69858713,3125.0,19.45146859,657.8947368,95.96928983,21.80549498,97.37098345,15.16990291,16.89474573,19.5809673,24.31315342,18.00504141,17.1320884,17.49169145,38.98635478,12.10067764,59.59475566,46.9924812,43.55400697,39.49447077,2272.727273,21.01723413,28.240609999999997,11.70138076,139.6648045,34.73428274,20.02803925,10.37667324,62.15040398,0.0
23.88344877,75.6429652,58.65102639,10.41666667,11.44950767,11.00594321,21.70609941,51.57297576,29.50722927,46.23208507,22.07018318,781.25,19.86886549,18.35535977,15.70598398,15.26251526,12.24140042,10.6315118,22.98850575,14.89868892,27.57099531,14.59640928,24.09058058,13.24503311,53.93743258,39.93610224,99.60159363,11.063170699999999,47.23665564,28.1848929,21.26754573,10.29548028,41.06776181,12.52975818,0.0
40.09623095,32.25806452,35.81661891,11.1000111,11.08278843,17.21763085,12.96512382,10.75268817,12.19958521,265.9574468,35.63791875,16.99813021,892.8571429,10.59322034,20.44989775,13.74759417,20.58884085,19.12411551,30.75976623,11.88212928,14.16229996,48.37929366,12.55335174,21.50537634,325.73289900000003,10.50420168,16.33186347,13.26787847,14.97454328,34.50655625,10.73883162,138.88888889999998,15.77038322,10.11020119,0.0
148.80952380000002,63.17119394,48.85197851,17.20578114,12.46261216,14.62843768,57.50431282,11.12594571,163.132137,13.52265044,46.8164794,19.96406468,35.71428571,53.19148936,14.05086413,14.77759716,32.27888961,10.077597500000001,51.15089514,20.98635887,18.86436521,20.37489813,12.06418145,44.66279589,581.3953488,29.47244327,17.35508504,203.25203249999998,19.92031873,10.031096400000001,40.11231448,10.46682018,243.30900240000003,82.64462809999999,0.0
16.53986107,11.03022281,52.32862376,12.79263144,12.54862593,27.21088435,12.84686536,19.52362358,50.8646999,13.22401481,3571.428571,22.14839424,29.28257687,495.04950499999995,12.01634223,10.091835699999999,36.92762186,104.71204190000002,30.15681544,10.63377286,25.68713075,11.03265666,100.7049345,15.37515375,36.31082062,11.28158845,431.0344828,13.18391562,12.16841081,11.29560601,15.34448366,22.97794118,91.24087591,628.9308176,0.0
21.7155266,25.08780733,12.951690199999998,14.06667604,36.08805485,22.58355917,36.63003663,141.2429379,40.24144869,25.94033722,21.28112364,12.98532658,14.67566774,14.46340758,13.25205407,10.24170422,12.37011381,18.09299801,10.54518612,12.12562144,38.02281369,18.21825469,13.13197636,15.60792883,14.01148942,139.275766,16.68056714,47.37091426,15.80028441,14.14827391,10.32311345,10.98901099,10.05126143,121.8026797,0.0
23.42468962,909.0909091,27.94857462,89.20606601,29.89536622,25.3164557,32.5414904,12.69196599,16.36125654,10.06137438,18.62891207,10.39609107,14.3000143,71.47962831,19.87281399,14.97678598,35.18648839,10.26061974,18.60811314,17.18508335,138.5041551,11.54334526,13.9275766,44.92362983,81.03727715,14.63914507,21.87226597,37.16090673,54.20054201,196.0784314,22.76867031,19.40617116,25.49719531,48.638132299999995,0.0
14.56664239,10.78283373,15.24157903,61.08735492,108.2251082,36.07503608,19.88071571,16.92620176,13.61285053,38.72966692,83.89261745,10.091835699999999,10.03713741,33.61344538,20.279862100000003,13.33155579,42.2832981,13.87154945,30.86419753,12.77628721,40.58441558,129.5336788,13.59434475,42.39084358,13.99972001,17.31901628,17.73678609,14.65416178,99.30486594,24.90660025,23.84358608,72.88629738,13.60914535,18.34862385,0.0
50.12531328,69.58942241,38.38771593,16.8406871,18.50823617,29.62962963,10.52853232,23.39728591,20.65262288,15.11030523,10.90869423,18.56665429,10.58537102,13.75515818,113.76564280000001,22.02643172,19.94813485,25.700334100000003,56.02240896,54.17118093,10.46901173,18.46040244,14.62843768,10.23331969,12.53604112,24.82621648,21.0925965,13.83891503,58.96226415,303.030303,13.338668799999999,606.0606061000001,12.05690861,20.95557418,0.0
42.62574595,13.39046599,10.70778456,24.55795678,50.02501251,14.71453796,14.18842225,51.44032922,141.2429379,16.87478907,33.52329869,28.78526195,10.55854714,10.9805644,74.18397626,12.57861635,18.19836215,25.92688618,11.56203029,19.06214258,32.43593902,12.00048002,15.26251526,54.73453749,17.98884691,21.96836555,421.9409283,32.5732899,15.09661836,18.06032147,27.73925104,21.85314685,204.91803280000002,57.07762557,0.0
