Belgium,Bulgaria,Czech Republic,Denmark,Germany,Estonia,Greece,Spain,France,Ireland,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Croatia,FYROM,Turkey,Norway,Albania,Kosovo,Montenegro,clazz
2581.8555300000003,6887.542092000001,2181.4365239999997,6650.645398,2137.0159329999997,6407.797127000001,2133.254602,6334.238429,2098.358286,6250.746897999999,2019.073843,6196.464329,1977.1650780000002,5602.085813000001,1686.1328429999999,5596.049591,1659.731292,5506.387286,1643.173688,5035.391378,1507.287266,4392.414331,1252.394298,4127.554599,931.4031380000001,3171.920185,911.7538678999999,2235.757009,201.9607977,1453.4524689999998,186.8401918,1034.1306849999999,183.0901708,966.9519866,0.0
3544.233772,4081.945271,3407.128607,3873.324026,2908.7493059999997,3850.8706399999996,2841.084621,3320.909604,2739.445597,2842.3871329999997,2286.794307,2679.638573,2147.727824,1995.291616,1963.545675,1863.159257,1959.7462420000002,1769.690485,1734.9419469999998,1701.150118,1670.988985,1310.379173,1311.5340939999999,1284.751804,1229.843008,938.3554236,967.4952472000001,544.7133621,654.7734769,240.95904590000004,633.1056252000001,238.52427680000002,433.41482410000003,110.0318175,0.0
3284.2692829999996,4335.485240999999,3137.120455,4131.006139,3120.750286,4045.8238539999998,3008.866702,3435.310936,2978.513361,3356.2126380000004,2894.69843,2944.183821,2594.441737,2683.893497,2482.999376,2249.063321,1905.064828,1803.3182,1457.008685,1782.822914,1200.7401830000001,1648.7746869999999,973.4262646999999,1131.42965,874.1210627999999,1029.191453,649.0418852999999,858.512537,648.2703703,251.16590449999998,598.1300422999999,134.6939731,90.13094508,59.33691115,0.0
3810.747617,3795.4926689999998,3656.204316,3477.363012,3568.5206340000004,3090.377927,3557.82934,2729.8268940000003,3514.28101,2728.371965,2725.082409,2563.665322,2718.979095,2222.771487,2711.513119,1817.1703,2539.867189,1738.447806,2011.326957,1272.207265,1496.318724,1149.756382,1484.204076,781.5566977999999,1085.1796880000002,564.943222,1014.139664,434.5543841,774.7062361000001,177.501095,205.7967156,104.1999397,111.638954,3.781204665,0.0
3399.443417,5340.387227,2654.346481,5331.024149,2405.1075100000003,4715.7900740000005,2363.426703,4709.400178,2311.253152,4199.8437380000005,2287.1712629999997,3983.2743729999997,2117.378954,3539.0225549999996,1983.5653989999998,2665.976244,1793.1505949999998,2223.7325530000003,1627.406248,2088.727043,1438.310422,2087.972846,1255.318373,1720.620743,1033.681605,1234.659678,934.5657241,1201.207367,866.2852707000001,563.3655882,668.946148,363.3258617,10.60190532,113.31391529999999,0.0
4241.246375,3813.0743009999997,4233.712603,3537.7613909999995,4228.534111999999,3477.728939,4010.669571,2966.772802,3967.385157,2744.461695,3652.505129,2361.247761,3075.478368,1989.4912160000001,2734.8603399999997,1781.9829920000002,2435.906777,1644.6390119999999,2263.2937859999997,1435.600587,1954.099495,1331.9876980000001,1569.944928,1198.019017,1526.336733,862.7127134,1420.463172,855.1181357999999,1258.9525939999999,704.8854583,1218.872486,7.57940778,639.2967426,1.146173793,0.0
4808.999221,4023.156661,4480.878824,3592.518389,4094.730245,2930.535075,3273.8611339999998,2923.4346739999996,2608.572753,2653.531611,2569.056767,2001.693652,2567.244021,1984.115518,2562.2161579999997,1975.905468,2471.775565,1974.698721,2200.350102,1945.8948829999997,2177.0470179999998,1253.33005,1971.0459399999997,1043.228828,1623.033527,778.9586311,1455.284564,739.9543075,1189.548468,662.9206952000001,939.4454666000001,354.4469994,555.9793643999999,15.16764652,0.0
3383.453823,3209.495398,3210.110332,3117.2532079999996,3131.216199,2784.156743,2911.14903,2763.8060969999997,2190.336706,2468.348457,2137.04648,2442.564473,2052.195914,2190.362511,1917.306459,2132.9579280000003,1878.6101210000002,1410.890418,1769.469784,1110.916224,1757.309745,1108.6464939999998,1236.380851,1039.653966,1156.840348,1031.426472,485.6335841,1020.3083730000001,277.4374147,1005.7261179999999,169.9238124,495.1247665,133.81054540000002,418.7854127,0.0
2356.307731,4677.160543,2160.777239,4344.841914,2098.1099679999998,3968.1006490000004,2069.940466,3764.4627960000003,1769.350954,3234.406598,1767.998686,3104.796599,1490.535167,3017.334681,1458.082342,2607.9751690000003,1321.921868,2201.843664,1270.313323,1617.72842,1263.2715970000002,1615.355442,1183.348641,1485.276365,1083.885975,994.0001509,896.0059456,907.620205,701.1733961,540.9222806,654.8831643999999,183.97374319999997,555.8641251,82.28061668,0.0
4045.7625329999996,4830.8292710000005,3497.117978,4779.382011,3484.6599579999997,4480.951453,3481.320914,3930.6753909999998,3213.183552,3742.8074020000004,3015.921316,3186.2536920000002,2872.985589,2800.942356,2531.319931,2731.285727,1996.907169,2664.846849,1748.7589269999999,2267.6701940000003,1642.793877,2132.099013,1519.162855,1961.843992,1119.466826,1819.9213559999998,1026.622838,1623.269522,994.4039391000001,1177.759399,964.2280239,576.1524142999999,358.5512854,552.4825847999999,0.0
